epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.56089,0.89904,3.24534,1.20562,0.00185,0.55556,0.23841,0.15896,0.57436,3.24318,1.24871,8e-05,8e-05,8e-05
2,10.4331,0.85169,2.9897,1.22397,0.00185,0.55556,0.31381,0.24926,0.53289,3.26212,1.07137,0.000178218,0.000178218,0.000178218
3,12.7205,0.83587,3.24585,1.16867,0.00296,0.88889,0.48684,0.38696,0.63064,3.19307,1.14503,0.000274456,0.000274456,0.000274456
4,15.3374,0.85582,2.59672,1.1158,0.00185,0.55556,0.50041,0.40345,0.57958,3.19779,1.15663,0.000368714,0.000368714,0.000368714
5,18.2822,0.96278,2.38093,1.26531,0.00185,0.55556,0.53708,0.39469,0.69782,3.22843,1.18421,0.000460992,0.000460992,0.000460992
6,21.3505,0.90956,2.08067,1.28865,0.00222,0.66667,0.53475,0.41396,0.69535,3.16672,1.25909,0.00055129,0.00055129,0.00055129
7,25.89,1.03595,1.97565,1.28681,0.00485,0.55556,0.46278,0.36783,0.92005,3.11255,1.5426,0.000639608,0.000639608,0.000639608
8,31.2158,0.80009,1.80709,1.10129,0.8764,0.22222,0.4148,0.33082,0.91818,2.98198,1.65359,0.000725946,0.000725946,0.000725946
9,34.5198,0.95309,1.91994,1.24104,0.67047,0.33333,0.41427,0.31249,0.94742,2.88907,1.69125,0.000810304,0.000810304,0.000810304
10,37.6126,0.94726,1.71535,1.11794,0.94414,0.33333,0.50785,0.43396,0.73478,2.82498,1.27675,0.000892682,0.000892682,0.000892682
11,39.8825,1.11532,1.74559,1.26561,1,0.43396,0.51673,0.41857,0.72166,2.77267,1.26293,0.00097308,0.00097308,0.00097308
12,42.147,0.96778,1.82663,1.22948,0.65862,0.42969,0.46452,0.31469,1.14689,3.01691,1.87897,0.0010515,0.0010515,0.0010515
13,45.0815,0.90234,1.7456,1.20674,0.34184,0.33333,0.19354,0.11658,1.15822,3.61622,2.10382,0.00112794,0.00112794,0.00112794
14,47.9565,0.95424,1.82504,1.17597,0.34184,0.33333,0.19354,0.11658,1.15822,3.61622,2.10382,0.00120239,0.00120239,0.00120239
15,50.542,0.93497,1.64126,1.15673,0.9742,0.27778,0.30217,0.1968,0.87063,3.39987,1.56178,0.00127487,0.00127487,0.00127487
16,53.3048,0.94831,1.69989,1.03883,0.14076,0.05556,0.04979,0.03119,0.95724,3.59614,1.50522,0.00134537,0.00134537,0.00134537
17,55.8079,1.01061,1.75761,1.14987,1,0.1105,0.14194,0.08865,1.95299,4.04389,2.25009,0.00141389,0.00141389,0.00141389
18,58.4326,0.92297,1.69002,1.15104,1,0.1105,0.14194,0.08865,1.95299,4.04389,2.25009,0.00148043,0.00148043,0.00148043
19,62.4192,0.9275,1.43191,1.1318,0.97915,0.11111,0.18971,0.10784,2.50659,3.73325,2.9856,0.00154498,0.00154498,0.00154498
20,66.4175,0.92483,1.69376,1.25453,0.38794,0.33333,0.28682,0.11626,2.48297,3.24817,2.82685,0.00160756,0.00160756,0.00160756
